     77.5799      59.5157       0.6316      -0.2204      -0.3033       0.7756      -0.1403      -0.2179       0.7268       0.2732      43.4591      -5.3096       0.6252       0.4669      -0.3549       0.4552       0.4954       0.5094      -0.2007       0.2905       0.8792       0.1208    2224.7632      49.7662       1.8983       1.7402      -1.1074       1.1705      -1.6343       0.5862       0.3908      -0.3424       0.1876      -0.2956       0.5034       0.4966      47.4765       0.9860       0.0001      71.0029      51.7639       0.6841       0.0014      60.0524      85.5709      -0.2053       0.0394     425.3763
     74.1905      74.0182       0.4820      -0.2776      -0.2875       0.6836      -0.2030      -0.2356       0.6561       0.3439      59.1293     -19.4576       0.7317       0.5295      -0.2504       0.3167       0.5076       0.5061      -0.1235       0.1749       0.8755       0.1245    2190.5791      67.5707       1.7487       1.1034      -0.5397       0.0469      -0.4032       0.5733       0.2622      -0.1767       0.0079      -0.0763       0.4586       0.5414      48.4078       0.8509       0.0212      68.5064      52.5099       0.6393       0.0117      64.0289      84.0375      -0.1672      -0.0740     519.8642
    103.3561      67.8834       0.5136      -0.2882      -0.2278       0.6758      -0.1945      -0.1718       0.5947       0.4053      38.0191      -4.6567       0.6261       0.5078      -0.2106       0.1808       0.4756       0.5361      -0.1140       0.1094       0.9040       0.0960    2935.7156      39.5967       1.6357       0.9361       0.0112       0.4636      -0.8042       0.4709       0.1954       0.0032       0.0690      -0.1337       0.4404       0.5596      49.0915       0.8289      -0.0313      71.9789      52.9010       0.7538       0.0278      63.4747      84.3535      -0.0951       0.0057     413.2676
     87.9476      55.0667       0.5140      -0.1331      -0.0934       0.7373      -0.0988      -0.0787       0.5782       0.4218      50.0900     -13.4233       0.6995       0.5307      -0.3933       0.4028       0.4949       0.5148      -0.1974       0.2296       0.8901       0.1099    1963.8804      19.5545       1.0401       1.7912       0.0102       0.5586      -0.9572       0.3264       0.4120       0.0032       0.0912      -0.1774       0.5446       0.4554      50.7170       0.7282      -0.0283      70.3317      54.2779       0.5940      -0.0567      54.5831      83.9604      -0.2851       0.2059     439.8700
     89.9915      67.3195       0.5277      -0.3456      -0.1335       0.7103      -0.2415      -0.1060       0.6217       0.3783      42.1129     -23.1408       0.6534       0.5882      -0.1400       0.3282       0.4578       0.5780      -0.0714       0.1903       0.9057       0.0943    2188.2992      92.5925       1.9990       1.2170      -0.7923       0.9106      -2.1032       0.6064       0.2642      -0.2412       0.1439      -0.3777       0.5296       0.4704      51.2312       0.7964      -0.0661      86.9299      53.2765       0.6805      -0.0060      63.7971      82.5542      -0.1684       0.0396     345.0543
     87.7608      66.9883       0.4942      -0.3806      -0.0324       0.7000      -0.2801      -0.0267       0.5930       0.4070      43.4361     -10.7049       0.6761       0.4908      -0.3138       0.3678       0.4977       0.5111      -0.1698       0.2230       0.8911       0.1089    2266.7675      97.0927       1.0837       1.4263      -0.2497       0.4986      -1.2506       0.3567       0.3350      -0.0829       0.0861      -0.2420       0.4217       0.5783      49.6113       0.8455      -0.0168      71.6798      52.7569       0.5237      -0.0203      56.5914      83.6017       0.0837      -0.0027     361.4335
     86.7675      63.9222       0.5102      -0.2464      -0.1431       0.7180      -0.1781      -0.1160       0.6125       0.3875      41.6979     -14.4667       0.7009       0.5011      -0.3853       0.4676       0.5071       0.5109      -0.2018       0.2747       0.9022       0.0978    2365.9449     -24.1429       1.9739       1.9702      -1.2186       2.1589      -1.4996       0.6017       0.4378      -0.3817       0.3473      -0.2707       0.4766       0.5234      51.5515       0.8065       0.0077      71.6566      53.7197       0.6790       0.0147      67.5750      86.4583       0.1915      -0.1284     462.9431
    105.2854      62.3143       0.5297      -0.3826       0.0017       0.7047      -0.2607       0.0013       0.5852       0.4148      38.1375     -18.1620       0.6534       0.5610      -0.2174       0.3581       0.4559       0.5812      -0.1153       0.2134       0.9089       0.0911    2493.0821       0.8115       1.4299       1.3716      -0.2338       0.5660      -0.0889       0.4523       0.3004      -0.0760       0.0943      -0.0166       0.4133       0.5867      50.9228       0.8033      -0.0137      71.9858      52.0703       0.6234      -0.0514      57.8285      86.2212      -0.0797       0.4428     547.4865
     68.7882      75.8935       0.4502      -0.2746      -0.2522       0.6757      -0.2114      -0.2162       0.6545       0.3455      48.8950     -19.8424       0.7175       0.5325      -0.3801       0.4873       0.4929       0.5227      -0.1913       0.2732       0.8950       0.1050    2547.0026      24.5364       2.8476       1.2536      -1.5263       0.5767      -0.7545       0.8365       0.2623      -0.4563       0.0884      -0.1288       0.4924       0.5076      49.8335       0.6287       0.0893      82.7710      51.8822       0.6137      -0.0932      52.0547      86.1519      -0.1726       0.1337     501.7721
     99.2713      66.9307       0.5074      -0.3472      -0.1191       0.6757      -0.2448      -0.0930       0.5855       0.4145      43.8912     -21.3140       0.6223       0.6059      -0.2556       0.4178       0.4454       0.5824      -0.1301       0.2356       0.9045       0.0955    2403.8832       7.9951       1.0201       2.3138      -0.4984      -0.3558       0.4487       0.3092       0.5270      -0.1525      -0.0576       0.0805       0.4702       0.5298      50.3849       0.7597      -0.0625      81.4073      52.2807       0.6028       0.0286      56.1428      83.6205       0.1783      -0.2813     402.1526
     84.9787      62.5265       0.5636      -0.2667      -0.1983       0.7314      -0.1827      -0.1516       0.6648       0.3352      43.7047     -13.8044       0.6837       0.4967      -0.1732       0.2699       0.5161       0.5068      -0.0933       0.1623       0.8934       0.1066    2571.4083      49.3426       2.2668       0.6137      -0.2727       0.5531      -1.1526       0.6457       0.1299      -0.0780       0.0835      -0.1944       0.5069       0.4931      50.4777       0.7346      -0.0184      70.4044      52.7726       0.6419      -0.0276      66.6409      87.1122       0.1695      -0.4331     398.7288
    117.9925      63.7001       0.4945      -0.1039      -0.2596       0.6561      -0.0724      -0.2009       0.5255       0.4745      42.0982     -25.6176       0.7308       0.5132      -0.0756       0.2919       0.5256       0.5151      -0.0398       0.1708       0.9031       0.0969    2421.2483     -24.5300       1.9347       2.0151      -0.9366       0.7056      -0.5827       0.5617       0.4257      -0.2761       0.1091      -0.1002       0.5193       0.4807      48.6971       0.7163      -0.0624      75.4593      52.1595       0.5790      -0.0054      56.3420      86.2938      -0.3453       0.2867     433.6960
     82.4432      70.0029       0.4656      -0.1554      -0.2909       0.6728      -0.1163      -0.2440       0.6100       0.3900      45.3458     -24.8927       0.6976       0.5874      -0.1919       0.3292       0.4620       0.5620      -0.0951       0.1829       0.9059       0.0941    2670.3067      34.0770       1.9760       1.7279      -1.1893       1.3736      -1.6493       0.5912       0.3674      -0.3653       0.2186      -0.2941       0.4293       0.5707      48.3017       0.9321       0.0204      65.3791      50.7414       0.5574      -0.0165      57.8894      87.0982      -0.2778       0.0386     452.8902
